open,high,low,close,volume,rsi,macd,macd_signal,ema_20,sma_50,bollinger_m,bollinger_h,bollinger_l,adx,obv
3259.45,3296.7,3247.71,3280.56,286.1946,58.1288346328674,27.59296027058781,20.267093805802048,3216.38912698,3176.6182,3199.546,3361.287463502715,3037.8045364972845,16.919979243612158,-3456.1786
3279.12,3339.14,3277.7,3323.19,762.1867,61.78992271284712,32.46355161496331,22.7063853676343,3226.5606386961904,3178.5889999999995,3211.672,3372.3063941501955,3051.0376058498045,16.288990183815766,-2693.9919
3323.12,3343.14,3300.5,3320.8,867.5344,61.46543865380718,35.71893170967451,25.308894636042343,3235.5358159632196,3181.0208000000002,3223.0919999999996,3380.6304558258726,3065.5535441741267,15.762703778887266,-3561.5263
3321.62,3349.2,3313.33,3336.28,610.6771,62.8270721350313,39.0972616219442,28.066568033222715,3245.1305001571986,3183.6406,3233.0225,3392.793670099617,3073.251329900383,15.369009651110215,-2950.8492
3336.64,3425.48,3331.21,3371.16,722.7051,65.76269073835755,44.08099860025277,31.269454146628725,3257.133309666037,3186.5638,3246.148,3406.024207810922,3086.2717921890785,16.06274001745108,-2228.1441
3371.7,3388.3,3268.1,3285.71,268.655,54.423553073147964,40.66676405505041,33.14891612831306,3259.8548992216524,3190.1626,3254.4325,3404.156399077606,3104.708600922394,15.560335871734848,-2496.7991
3283.08,3294.49,3180.0,3186.2,585.5383,44.747310747555716,29.590235405048134,32.43717998366008,3252.8401469148284,3191.2329999999997,3257.2400000000002,3399.4463686337613,3115.033631366239,15.063460814157244,-3082.3374000000003
3185.02,3223.48,3129.54,3213.91,1018.8594,47.5441545857077,22.785317113393376,30.506807409606743,3249.132513875321,3192.2724,3260.793,3394.6983374739084,3126.887662526092,15.194246211415479,-2063.478
3211.56,3251.42,3181.2,3204.87,729.1003,46.71339978109378,16.473027088724393,27.700051345430275,3244.9170363633857,3192.3045999999995,3264.106,3388.711276035974,3139.5007239640263,14.887240405301823,-2792.5783
3208.53,3213.23,3145.63,3168.26,1990.3602,43.40561228665493,8.419318071235466,23.843904690591316,3237.6163662335393,3191.335,3267.166,3378.492647016792,3155.8393529832083,15.020492201620316,-4782.9385
3169.11,3217.23,3146.0,3190.19,589.5894,45.877874629949495,3.7628871535875987,19.827701183190573,3233.0995694493927,3191.812,3264.8705,3380.4758056697715,3149.2651943302285,15.078368414054012,-4193.3491
3190.21,3258.95,3186.08,3219.46,971.0209,49.07542486826052,2.406733162227283,16.343507578997915,3231.800562835165,3191.8675999999996,3259.0634999999997,3371.49833433083,3146.6286656691695,14.458013606904556,-3222.3282000000004
3219.68,3223.35,3151.64,3178.52,1336.7238,45.06498877539436,-1.9490767530810444,12.684990712582124,3226.7262235175303,3191.5888,3251.117,3362.730471068689,3139.5035289313114,14.333554070183812,-4559.052000000001
3178.66,3180.99,3051.42,3070.95,1985.3629,36.601420747956574,-13.920619259341038,7.363868718197493,3211.890392706337,3189.8207999999995,3241.357,3377.4575800281573,3105.2564199718427,15.307076644113161,-6544.414900000001
3070.59,3340.0,3066.08,3298.18,3484.7524,55.57964059792546,-5.014783681518111,4.888138238254372,3220.108450543829,3192.6005999999998,3242.0469999999996,3379.149291899154,3104.944708100845,14.317396767995692,-3059.662500000001
3298.44,3362.35,3292.8,3329.82,1243.7885,57.48792769255028,4.5438599612948565,4.81928258286247,3230.5571695396548,3195.2392,3245.8165,3388.120238851096,3103.512761148904,13.635099291399355,-1815.8740000000007
